Country or Area,Commodity - Transaction,Year,Unit,Quantity,Quantity Footnotes
Algeria,Total refinery output,2018,"Metric tons,  thousand",29914,
Algeria,Total refinery output,2017,"Metric tons,  thousand",28317,
Algeria,Total refinery output,2016,"Metric tons,  thousand",29160,
Algeria,Total refinery output,2015,"Metric tons,  thousand",29713,
Algeria,Total refinery output,2014,"Metric tons,  thousand",31033,
Algeria,Total refinery output,2013,"Metric tons,  thousand",23978,
Algeria,Total refinery output,2012,"Metric tons,  thousand",23007,
Algeria,Total refinery output,2011,"Metric tons,  thousand",25320,
Algeria,Total refinery output,2010,"Metric tons,  thousand",26402,
Algeria,Total refinery output,2009,"Metric tons,  thousand",22576,
Algeria,Total refinery output,2008,"Metric tons,  thousand",22272,
Algeria,Total refinery output,2007,"Metric tons,  thousand",19767,
Algeria,Total refinery output,2006,"Metric tons,  thousand",18687,
Algeria,Total refinery output,2005,"Metric tons,  thousand",18325,
Algeria,Total refinery output,2004,"Metric tons,  thousand",19227,
Algeria,Total refinery output,2003,"Metric tons,  thousand",21016,
Algeria,Total refinery output,2002,"Metric tons,  thousand",20654,
Algeria,Total refinery output,2001,"Metric tons,  thousand",21148,
Algeria,Total refinery output,2000,"Metric tons,  thousand",20359,
Algeria,Total refinery output,1999,"Metric tons,  thousand",20778,
Angola,Total refinery output,2019,"Metric tons,  thousand",2723.534,
Angola,Total refinery output,2018,"Metric tons,  thousand",1852.767,
Angola,Total refinery output,2017,"Metric tons,  thousand",2547.434,
Angola,Total refinery output,2016,"Metric tons,  thousand",2640.663,
Angola,Total refinery output,2015,"Metric tons,  thousand",2597.688,
Angola,Total refinery output,2014,"Metric tons,  thousand",2253.686,
Angola,Total refinery output,2013,"Metric tons,  thousand",2210,
Angola,Total refinery output,2012,"Metric tons,  thousand",1983,
Angola,Total refinery output,2011,"Metric tons,  thousand",1925,
Angola,Total refinery output,2010,"Metric tons,  thousand",1864,
Angola,Total refinery output,2009,"Metric tons,  thousand",1851,
Angola,Total refinery output,2008,"Metric tons,  thousand",1847,
Angola,Total refinery output,2007,"Metric tons,  thousand",1793.5,
